,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favoriteCount,commentCount,duration,definition,caption,tagCount,likeRatio,commentRatio,titleLength
0,uSMO86uTxo8,NeetCode,Q&A stream (and launching newsletter soon),"Answering your questions and discussing my upcoming newsletter.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second channel for daily videos:   @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#leetcode #neetcode #python",,2023-10-15T22:42:33Z,16549,507,0,18,PT1H43M27S,hd,false,0,30.63629222309505,1.087679013837694,42
1,UrcwDOEBzZE,NeetCode,Most Common Concepts for Coding Interviews,"The fastest way to prepare for coding interviews: prioritize the most common data structures and algorithms.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🌎 https://neetcode.io/roadmap - Coding Interview Roadmap
📃 https://neetcode.io/practice - Neetcode 150


🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk

🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


0:00 - Read the problem
0:36 - Arrays
1:45 - Decision Trees
2:36 - Graphs
4:04 - HashMaps
4:32 - Heaps
5:01 - Dynamic Programming
5:47 - Solving 100s of problems?


#coding #neetcode #python",,2023-10-15T14:45:04Z,54210,3505,0,88,PT6M8S,hd,false,0,64.65596753366538,1.6233167312304002,42
2,a3Aep-SygUA,NeetCode,Leetcode 24 Hour Challenge (while learning Golang),"Coding leetcode problems for 24 hours straight because I enjoy the pain. And I get to learn about Golang, which is such a great language for leetcoding.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews

Checkout my second Channel for daily uploads:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 Connect on LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/

🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io

0:00 - Stream starts
17:50 - Challenge starts
24:14:15 - Challenge ends

#leetcode #neetcode #golang",,2023-09-30T12:36:38Z,37482,980,0,93,P1DT17M16S,hd,false,0,26.14588335734486,2.4811909716664,50
3,e64g-sJAoK0,NeetCode,Grinding Leetcode for 24 hours (learning Golang),"Solving as many leetcode problems as I can in 24 hours, while learning Golang.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second channel for daily videos:   @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#leetcode #neetcode #python",,2023-09-26T19:10:42Z,71228,1856,0,43,PT5H41M54S,hd,false,0,26.05716852923008,0.6036951760543606,48
4,QHXET1G9Y5U,NeetCode,I quit Amazon after two months,"Sharing my story of working at Amazon and being unemployed for over a year.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews.

Checkout my second Channel for daily uploads:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/


0:00 - Intro
0:36 - Back Story
1:25 - Amazon days
4:07 - Mental breakdown
6:59 - How I got better
9:30 - My Advice


#coding #neetcode #python",,2023-09-25T15:52:06Z,281894,20861,0,1497,PT10M9S,hd,false,0,74.00299403321817,5.3105067862388,30
5,JtdB-jiN6O0,NeetCode,I coded a Leetcode clone (it's easier than you think),"I coded a leetcode clone (an online code judge application, not literally a leetcode clone). I walk through how I did it, including the backend, frontend, and the process of executing test cases.

🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
🥷 Discord: https://discord.gg/ddjKRXPqtk

0:00 - Intro
0:20 - Backend
3:02 - Frontend
4:45 - Adding a problem
7:58 - How I did it so quickly
8:49 - How did I git gud?


#algorithms #neetcode #leetcode",,2023-09-02T14:42:16Z,110606,4052,0,251,PT9M31S,hd,false,0,36.63454062166609,2.2693163119541433,53
6,l8dpetPPkFQ,NeetCode,Google's Tech Stack (6 internal tools revealed),"Google's internal tech stack is mostly public and we talk about 6 of the most influential infrastructure tools used at google, either currently or in the past.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews
📝 https://neetcode.io/courses/lessons/design-youtube - Youtube Skeleton Design Doc


MongoDB Cheat sheet: https://neetcode.io/courses/lessons/mongodb
MongoDB Atlas - https://tinyurl.com/kae79pew


Tools mentioned are from this Github repo: https://github.com/jhuangtw/xg2xg

Checkout my second Channel:  https://www.youtube.com/@NeetCodeIO

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io



#google #techstack #neetcode",,2023-08-13T14:45:02Z,236026,6535,0,172,PT9M7S,hd,false,0,27.687627634243686,0.7287332751476532,47
7,6pzoo2HXJT8,NeetCode,My Last Day at Google,"I left Google earlier this year, after working there for about 1.5 years as a software engineer.

🚀 https://neetcode.io/ - A better way to prepare for coding interviews!

Checkout my second Channel:  @NeetCodeIO 

🥷 Discord: https://discord.gg/ddjKRXPqtk
🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


0:00 - My last day
0:32 - What happened
1:20 - Why I left
3:55 - What's next


#google #leetcode #neetcode",,2023-06-11T14:45:00Z,489473,22885,0,1555,PT4M59S,hd,false,0,46.7543664308348,3.1768861612387203,21
8,Hp5zAvNQHjE,NeetCode,NeetCode Live Stream,"🚀 https://neetcode.io/ - Get lifetime access to every course I ever create!

Checkout my second Channel:  @NeetCodeIO  

🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#coding #neetcode #leetcode",,2023-06-09T03:08:28Z,0,3,0,0,P0D,sd,false,0,inf,,20
9,8wysIxzqgPI,NeetCode,My Brain after 569 Leetcode Problems,"🗺️ Roadmap: https://neetcode.io

In this video I wanted to share every single thing I learned from solving and explaining hundreds of leetcode problems.

Quiz Feature: https://neetcode.io/

🚀 https://neetcode.io/ - A better way to prepare for coding interviews!

Second channel: @NeetCodeIO 

🧑‍💼 LinkedIn: https://www.linkedin.com/in/navdeep-singh-3aaa14161/
🥷 Discord: https://discord.gg/ddjKRXPqtk
🐦 Twitter: https://twitter.com/neetcode1
📷 Instagram: https://www.instagram.com/neetcodeio/
🎵 TikTok: https://www.tiktok.com/@neetcode.io


#coding #neetcode #leetcode",,2023-05-06T16:00:11Z,1735065,71381,0,880,PT7M50S,hd,false,0,41.14024546630818,0.5071856097610176,36
